tamanho,tamanho_folheto,polos,dn_succao_pol,dn_recalque_pol,carcaca_motor,cv,peso_kg,h1_mm,h2_mm,a_mm,h_mm,l_mm,b_mm,h3_mm,h4_mm,m1_mm,m2_mm,m3_mm,m4_mm,n1_mm,n2_mm,n3_mm,n4_mm,n5_mm,q_mm,r1_mm,s1_mm,s2_mm,t1_mm,t2_mm,w_mm,norma_flange,fonte
065-040-250,40-250,2,"2.1/2""","1.1/2""",200L,50,315,180,225,100,200,791,65,,,125,95,370,82,320,250,190,82,385,305,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,2,"3""","2""",112M,7.5,70,132,160,100,112,442,50,110,180,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,2,"3""","2""",132S,10,94,132,160,100,132,481,50,110,180,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,2,"3""","2""",132M,12.5,101,132,160,100,132,519,50,110,180,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,2,"3""","2""",132M,15,105,132,160,100,132,519,50,110,180,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,2,"3""","2""",132M,12.5,103,160,180,100,132,519,50,132,200,100,70,225,,265,212,165,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,2,"3""","2""",132M,15,107,160,180,100,132,519,50,132,200,100,70,225,,265,212,165,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,2,"3""","2""",160M,20,146,160,180,100,160,622,50,132,200,100,70,254,63,265,212,165,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,2,"3""","2""",160M,25,150,160,180,100,160,622,50,132,200,100,70,254,63,265,212,165,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,2,"3""","2""",160M,25,156,160,200,100,160,622,50,150,220,100,70,254,63,265,212,165,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,2,"3""","2""",180M,30,202,160,200,100,180,688,50,150,220,100,70,294,70,265,212,165,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,2,"3""","2""",200M,40,261,160,200,100,200,753,50,150,220,100,70,332,82,265,212,165,82,385,267,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,2,"3""","2""",200L,50,307,160,200,100,200,791,50,150,220,100,70,370,82,265,212,165,82,385,305,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,2,"4""","2.1/2""",112M,7.5,79,160,180,100,112,442,65,125,200,125,95,177,,280,212,150,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,2,"4""","2.1/2""",132S,10,103,160,180,100,132,481,65,125,200,125,95,187,,280,212,150,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,2,"4""","2.1/2""",132M,15,114,160,180,100,132,519,65,125,200,125,95,225,,280,212,150,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,2,"4""","2.1/2""",160M,20,153,160,180,100,160,622,65,125,200,125,95,254,63,280,212,150,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,2,"4""","2.1/2""",132M,12.5,119,160,200,,132,519,65,140,230,125,95,225,,280,212,150,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,2,"4""","2.1/2""",160M,20,160,160,200,,160,622,65,140,230,125,95,254,63,280,212,150,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,2,"4""","2.1/2""",160M,25,164,160,200,,160,622,65,140,230,125,95,254,63,280,212,150,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,2,"4""","2.1/2""",180M,30,210,160,200,,180,688,65,140,230,125,95,294,70,280,212,150,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,2,"4""","2.1/2""",200M,40,269,160,200,,200,753,65,140,230,125,95,332,82,280,212,150,82,385,267,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,2,"4""","2.1/2""",180M,30,208,180,225,100,180,688,65,160,255,125,95,294,70,320,250,190,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,2,"4""","2.1/2""",200M,40,267,180,225,100,200,753,65,160,255,125,95,332,82,320,250,190,82,385,267,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,2,"4""","2.1/2""",200L,50,313,180,225,100,200,791,65,160,255,125,95,370,82,320,250,190,82,385,305,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,4,"2""","1.1/4""",90S,1.5,48,160,180,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,4,"2""","1.1/4""",90S,2,49,160,180,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,4,"2""","1.1/4""",90L,3,51,160,180,80,90,399,50,,,100,70,156,,240,190,140,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,4,"2""","1.1/4""",90S,1,45,160,180,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,4,"2""","1.1/4""",90S,1.5,48,160,180,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,4,"2""","1.1/4""",90S,2,49,160,180,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,4,"2""","1.1/4""",90L,3,66,180,225,100,90,399,65,,,125,95,156,,320,250,190,36.5,164,125,140,14,10,159,89.5,174,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,4,"2""","1.1/4""",100L,4,74,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,4,"2""","1.1/4""",100L,5,79,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,4,"2""","1.1/4""",90S,2,64,180,225,100,90,374,65,,,125,95,131,,320,250,190,36.5,164,100,140,14,10,159,89.5,174,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,4,"2""","1.1/4""",90L,3,66,180,225,100,90,399,65,,,125,95,156,,320,250,190,36.5,164,125,140,14,10,159,89.5,174,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
