pagina,peca,dn_mm,dn_pol,cotas,sap,situacao
20,,622,24,"559,00 6,35 FL EN1092 PN16 226,12 59,45 466,23 132,90 15° 30° 30° 15°",,CADASTRAR
21,,48,2,"132,50 11/2"" bsp Femea 78,25 30,00 40,00 2,00 FL NBR7675 PN16 38,93 26,07 83,87 58,14 15° 30° 30° 15°",01523-130505,cadastrado
21,,76,3,"152,00 2"" bsp Femea 95,00 30,00 40,00 2,00 FL NBR7675 PN16 47,91 27,55 101,82 61,09 15° 30° 30° 15°",01523-131005,cadastrado
21,,102,4,"175,00 2"" bsp Femea 113,00 30,00 40,00 2,00 FL NBR7675 PN16 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01523-132005,cadastrado
21,,152,6,"216,00 2"" bsp Femea 146,00 30,00 40,00 2,00 FL NBR7675 PN16 74,24 33,51 156,48 75,03 15° 30° 30° 15°",01523-133005,cadastrado
21,,203,8,"297,00 2"" bsp Femea 199,25 30,00 40,00 2,00 FL NBR7675 PN16 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01523-134005,cadastrado
21,,261,10,"325,00 2"" bsp Femea 227,75 30,00 40,00 2,65 FL NBR7675 PN16 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01523-134505,cadastrado
21,,318,12,"365,00 2"" bsp Femea 262,00 30,00 40,00 2,65 FL NBR7675 PN16 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01523-135010,cadastrado
21,,368,14,"370,00 2"" bsp Femea 277,00 30,00 40,00 3,00 FL NBR7675 PN16 142,44 43,84 296,89 99,68 15° 30° 30° 15° 01523-",,indefinido
21,,419,16,"405,00 2"" bsp Femea 307,25 30,00 40,00 4,75 FL NBR7675 PN16 158,65 46,38 329,31 104,77 15° 30° 30° 15°",01523-135513,cadastrado
21,,470,18,"427,50 3"" bsp Femea 331,25 30,00 40,00 4,75 FL NBR7675 PN16 171,52 45,58 355,03 103,16 15° 30° 30° 15° 01523-",,indefinido
21,,521,20,"457,00 3"" bsp Femea 358,75 30,00 40,00 4,75 FL NBR7675 PN16 186,25 46,65 384,51 105,30 15° 30° 30° 15° 01523-",,indefinido
21,,622,24,"559,00 3"" bsp Femea 435,00 30,00 40,00 6,35 FL NBR7675 PN16 226,12 59,45 466,23 132,90 15° 30° 30° 15° 01523-",,indefinido
22,,48,2,"132,50 2,00 FL NBR7675 PN16 38,93 26,07 83,87 58,14 15° 30° 30° 15°",,CADASTRAR
22,,76,3,"152,00 2,00 FL NBR7675 PN16 47,91 27,55 101,82 61,09 15° 30° 30° 15°",01523-131000,cadastrado
22,,102,4,"175,00 2,00 FL NBR7675 PN16 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01523-132000,cadastrado
22,,152,6,"216,00 2,00 FL NBR7675 PN16 74,24 33,51 156,48 75,03 15° 30° 30° 15°",01523-133000,cadastrado
22,,203,8,"297,00 2,00 FL NBR7675 PN16 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01523-134000,cadastrado
22,,261,10,"325,00 2,65 FL NBR7675 PN16 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01523-134500,cadastrado
22,,318,12,"365,00 2,65 FL NBR7675 PN16 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01523-135000,cadastrado
22,,368,14,"370,00 3,00 FL NBR7675 PN16 142,44 43,84 296,89 99,68 15° 30° 30° 15°",01523-135500,cadastrado
22,,419,16,"405,00 4,75 FL NBR7675 PN16 158,65 46,38 329,31 104,77 15° 30° 30° 15°",01523-135510,cadastrado
22,,470,18,"427,50 4,75 FL NBR7675 PN16 171,52 45,58 355,03 103,16 15° 30° 30° 15°",,CADASTRAR
22,,521,20,"457,00 4,75 FL NBR7675 PN16 186,25 46,65 384,51 105,30 15° 30° 30° 15°",01523-135800,cadastrado
22,,622,24,"559,00 6,35 FL NBR7675 PN16 226,12 59,45 466,23 132,90 15° 30° 30° 15°",,CADASTRAR
22,,711,28,"610,00 6,35 FL NBR7675 PN16 328,51 138,00 517,41 136,39 15° 30° 30° 15°",01523-000035,cadastrado
23,,48,2,"132,50 2,00 K10 FL NBR7675 PN16 38,93 26,07 83,87 58,14 15° 30° 30° 15° 01523-",,indefinido
23,,76,3,"152,00 2,00 K10 FL NBR7675 PN16 47,91 27,55 101,82 61,09 15° 30° 30° 15°",01523-131095,cadastrado
23,,102,4,"175,00 2,00 K10 FL NBR7675 PN16 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01523-132095,cadastrado
23,,152,6,"216,00 2,00 K10 FL NBR7675 PN16 74,24 33,51 156,48 75,03 15° 30° 30° 15°",01523-133095,cadastrado
23,,203,8,"297,00 2,00 K10 FL NBR7675 PN16 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01523-134095,cadastrado
23,,261,10,"325,00 2,65 K10 FL NBR7675 PN16 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01523-134595,cadastrado
23,,318,12,"365,00 2,65 K10 FL NBR7675 PN16 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01523-135095,cadastrado
23,,368,14,"370,00 3,00 K10 FL NBR7675 PN16 142,44 43,84 296,89 99,68 15° 30° 30° 15°",01523-135512,cadastrado
23,,419,16,"405,00 4,75 K10 FL NBR7675 PN16 158,65 46,38 329,31 104,77 15° 30° 30° 15°",,CADASTRAR
23,,470,18,"427,50 4,75 K10 FL NBR7675 PN16 171,52 45,58 355,03 103,16 15° 30° 30° 15°",,CADASTRAR
23,,521,20,"457,00 4,75 K10 FL NBR7675 PN16 186,25 46,65 384,51 105,30 15° 30° 30° 15°",,CADASTRAR
23,,622,24,"559,00 6,35 K10 FL NBR7675 PN16 226,12 59,45 466,23 132,90 15° 30° 30° 15°",,CADASTRAR
24,,102,4,"1500 175 2"" bsp 113 30 40 2"" bsp 91 30 40 2,00 76 [3""] 60,555 NBR7675 PN16 100 NBR7675 PN16 2,00 56,56 29,23 121,11 66,45",,CADASTRAR
24,,152,6,"1500 216 2"" bsp 146 30 40 2"" bsp 116 30 40 2,00 76 [3""] 78,24 NBR7675 PN16 100 NBR7675 PN16 2,00 74,24 33,51 156,48 75,03",,CADASTRAR
24,,152,6,"1500 216 2"" bsp 146 30 40 2"" bsp 116 30 40 2,00 102 [4""] 78,24 NBR7675 PN16 100 NBR7675 PN16 2,00 74,24 33,51 156,48 75,03",,CADASTRAR
24,,203,8,"1500 297 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 76 [3""] 106,78 NBR7675 PN16 100 NBR7675 PN16 2,00 101,78 47,38 213,56 104,77 01528-0240 20",,indefinido
24,,203,8,"1500 297 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 102 [4""] 106,78 NBR7675 PN16 100 NBR7675 PN16 2,00 101,78 47,38 213,56 104,77 sem cadas tro",,indefinido
24,,203,8,"1500 297 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 152 [6""] 106,78 NBR7675 PN16 100 NBR7675 PN16 2,00 101,78 47,38 213,56 104,77 sem cadas tro",,indefinido
24,,261,10,"1500 325 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 76 [3""] 122, 05 NBR7675 PN16 100 NBR7675 PN16 2,00 117,05 47,12 244,10 104,23 sem cadas tro",,indefinido
24,,261,10,"1500 325 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 102 [4""] 1 22,05 NBR7675 PN16 100 NBR7675 PN16 2,00 117,05 47,12 244,10 104,23 sem cada stro",,indefinido
24,,261,10,"1500 325 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 152 [6""] 1 22,05 NBR7675 PN16 100 NBR7675 PN16 2,00 117,05 47,12 244,10 104,23 sem cada stro",,indefinido
24,,261,10,"1500 325 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 203 [8""] 122,05 NBR7675 PN16 100 NBR7675 PN16 2,00 117,05 47,12 244,10 104,23 sem cada stro",,indefinido
24,,318,12,"1500 365 2"" bsp 262 30 40 2"" bsp 199 30 40 2,65 76 [3""] 140,405 NBR7675 PN16 100 NBR7675 PN16 2,00 135,41 50,20 280,81 110,40",,CADASTRAR
24,,318,12,"1500 365 2"" bsp 262 30 40 2"" bsp 199 30 40 2,65 102 [4""] 140,405 NBR7675 PN16 100 NBR7675 PN16 2,00 135,41 50,20 280,81 110,40",,CADASTRAR
24,,318,12,"1500 365 2"" bsp 262 30 40 2"" bsp 199 30 40 2,65 152 [6""] 140,405 NBR7675 PN16 100 NBR7675 PN16 2,00 135,41 50,20 280,81 110,40",,CADASTRAR
24,,318,12,"1500 365 2"" bsp 262 30 40 2"" bsp 199 30 40 2,65 203 [8""] 140,405 NBR7675 PN16 100 NBR7675 PN16 2,00 135,41 50,20 280,81 110,40",,CADASTRAR
24,,368,14,"1500 370 2"" bsp 277 30 40 2"" bsp 224 30 40 3,00 203 [6""] 148,445 NBR7675 PN16 100 NBR7675 PN16 2,00 142,44 43,84 296,89 99,68",,CADASTRAR
24,,368,14,"1500 370 2"" bsp 277 30 40 2"" bsp 224 30 40 3,00 203 [8""] 148,445 NBR7675 PN16 100 NBR7675 PN16 2,00 142,44 43,84 296,89 99,68",,CADASTRAR
24,,419,16,"1500 405 3"" bsp 307,25 30 40 3"" bsp 249,5 30 40 4,75 152 [6""] 164,655 NBR7675 PN16 100 NBR7675 PN16 2,00 158,65 46,38 329,31 104,77 sem cad astro",,indefinido
24,,419,16,"1500 405 3"" bsp 307,25 30 40 3"" bsp 249,5 30 40 4,75 203 [8""] 164,655 NBR7675 PN16 100 NBR7675 PN16 2,00 158,65 46,38 329,31 104,77 sem cad astro",,indefinido
25,,102,4,"1500 175,00 2"" bsp 113,00 30 40 2"" bsp 91 30 40 2,00 76 [3""] 60,555 NBR7675 PN16 100 2,00 56,56 29,23 121,11 66,45",01528-022990,cadastrado
25,,152,6,"1500 216,00 2"" bsp 146,00 30 40 2"" bsp 116 30 40 2,00 76 [3""] 78,24 NBR7675 PN16 100 2,00 74,24 33,51 156,48 75,03",01528-023000,cadastrado
25,,152,6,"1500 216,00 2"" bsp 146,00 30 40 2"" bsp 116 30 40 2,00 102 [4""] 78,24 NBR7675 PN16 100 2,00 74,24 33,51 156,48 75,03",01528-023010,cadastrado
25,,203,8,"1500 297,00 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 76 [3""] 106,78 NBR7675 PN16 100 2,00 101,78 47,38 213,56 104,77",01528-024010,cadastrado
25,,203,8,"1500 297,00 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 102 [4""] 106,78 NBR7675 PN16 100 2,00 101,78 47,38 213,56 104,77",01528-024015,cadastrado
25,,203,8,"1500 297,00 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 2,00 152 [6""] 106,78 NBR7675 PN16 100 2,00 101,78 47,38 213,56 104,77",01528-000003,cadastrado
25,,261,10,"1500 325,00 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 76 [3""] 122,05 NBR7675 PN16 100 2,00 117,05 47,12 244,10 104,23",01528-024505,cadastrado
25,,261,10,"1500 325,00 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 102 [4""] 122,05 NBR7675 PN16 100 2,00 117,05 47,12 244,10 104,23",01528-024515,cadastrado
25,,261,10,"1500 325,00 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 152 [6""] 122,05 NBR7675 PN16 100 2,00 117,05 47,12 244,10 104,23",01528-024530,cadastrado
25,,261,10,"1500 325,00 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 2,65 203 [8""] 122,05 NBR7675 PN16 100 2,00 117,05 47,12 244,10 104,23",01528-024535,cadastrado
25,,318,12,"1500 365,00 2"" bsp 262,00 30 40 2"" bsp 199 30 40 2,65 76 [3""] 140,405 NBR7675 PN16 100 2,00 135,41 50,20 280,81 110,40",,CADASTRAR
25,,318,12,"1500 365,00 2"" bsp 262,00 30 40 2"" bsp 199 30 40 2,65 102 [4""] 140,405 NBR7675 PN16 100 2,00 135,41 50,20 280,81 110,40",01528-025033,cadastrado
25,,318,12,"1500 365,00 2"" bsp 262,00 30 40 2"" bsp 199 30 40 2,65 152 [6""] 140,405 NBR7675 PN16 100 2,00 135,41 50,20 280,81 110,40",01528-025034,cadastrado
25,,318,12,"1500 365,00 2"" bsp 262,00 30 40 2"" bsp 199 30 40 2,65 203 [8""] 140,405 NBR7675 PN16 100 2,00 135,41 50,20 280,81 110,40",01528-025040,cadastrado
25,,368,14,"1500 370,00 2"" bsp 277,00 30 40 2"" bsp 224 30 40 3,00 203 [6""] 148,445 NBR7675 PN16 100 2,00 142,44 43,84 296,89 99,68",01528-025063,cadastrado
25,,368,14,"1500 370,00 2"" bsp 277,00 30 40 2"" bsp 224 30 40 3,00 203 [8""] 148,445 NBR7675 PN16 100 2,00 142,44 43,84 296,89 99,68",01528-025061,cadastrado
25,,419,16,"1500 405,00 2"" bsp 307,25 30 40 2"" bsp 249,5 30 40 4,75 152 [6""] 164,655 NBR7675 PN16 100 2,00 158,65 46,38 329,31 104,77",,CADASTRAR
25,,419,16,"1500 405,00 2"" bsp 307,25 30 40 2"" bsp 249,5 30 40 4,75 203 [8""] 164,655 NBR7675 PN16 100 2,00 158,65 46,38 329,31 104,77",01528-000012,cadastrado
25,,521,20,"1500 457,00 2"" bsp 358,75 30 40 2"" bsp 300,50 30 40 4,75 152 [6""] 192,255 NBR7675 PN16 100 2,00 186,25 46,65 384,51 105,3",,CADASTRAR
25,,521,20,"1500 457,00 2"" bsp 358,75 30 40 2"" bsp 300,50 30 40 4,75 203 [8""] 192,255 NBR7675 PN16 100 2,00 186,25 46,65 384,51 105,3",01528-025080,cadastrado
26,,48,2,"1500 132,5 11/2"" bsp 78,25 30 40 1"" bsp 41,94 30 100 11/2"" bsp 64 30 40 K10 2,00 38,93 26,07 83,87 58,14",,CADASTRAR
26,,76,3,"1500 152 2"" bsp 95 30 40 2"" bsp 50,91 30 100 2"" bsp 78 30 40 K10 2,00 47,91 27,55 101,82 61,09",01528-031510,cadastrado
26,,76,3,"1500 152 2"" bsp 95 30 40 3"" bsp 50,91 40 100 2"" bsp 78 30 40 K10 2,00 47,91 27,55 101,82 61,09",,CADASTRAR
26,,102,4,"1500 175 2"" bsp 113 30 40 2"" bsp 60,56 30 100 2"" bsp 91 30 40 K10 2,00 56,56 29,23 121,11 66,45",01528-032015,cadastrado
26,,102,4,"1500 175 2"" bsp 113 30 40 3"" bsp 60,56 40 100 2"" bsp 91 30 40 K10 2,00 56,56 29,23 121,11 66,45",01528-032010,cadastrado
26,,152,6,"1500 216 2"" bsp 146 30 40 2"" bsp 78,24 30 100 2"" bsp 116 30 40 K10 2,00 74,24 33,51 156,48 75,03",01528-033014,cadastrado
