familia,dn,dn_menor,unidade_dn,variante,significado,valor_mm,confiavel,nome_no_dxf,arquivo,fonte
LUVA_CORRER,125,,mm,,comprimento_mm,163.0,1,LUVA  CORRER PVC 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,125,,mm,,d_externo_mm,150.1,1,LUVA  CORRER PVC 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,100,,mm,,comprimento_mm,103.0,1,LUVA  CORRER PVC 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,100,,mm,,d_externo_mm,125.0,1,LUVA  CORRER PVC 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,75,,mm,,comprimento_mm,101.0,1,LUVA  CORRER PVC 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,75,,mm,,d_externo_mm,102.0,1,LUVA  CORRER PVC 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,50,,mm,,comprimento_mm,94.0,1,LUVA  CORRER PVC 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,50,,mm,,d_externo_mm,75.0,1,LUVA  CORRER PVC 50 MM,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/,envelope_x_mm,679.9,1,JOELHO AZUL 90 - 100mm,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/,envelope_y_mm,205.8,1,JOELHO AZUL 90 - 100mm,pecas_CAD2.dxf,DXF da casa
LUVA,150,,mm,BOLSA,comprimento_mm,181.0,1,LUVA  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA,150,,mm,BOLSA,d_externo_mm,167.9,1,LUVA  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,150,,mm,,comprimento_mm,196.0,1,LUVA  CORRER PVC 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,150,,mm,,d_externo_mm,175.1,1,LUVA  CORRER PVC 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,125,,mm,,comprimento_mm,163.0,1,LUVA  CORRER PVC 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,125,,mm,,d_externo_mm,150.1,1,LUVA  CORRER PVC 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA,125,,mm,BOLSA,comprimento_mm,153.0,1,LUVA  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA,125,,mm,BOLSA,d_externo_mm,142.9,1,LUVA  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA,100,,mm,BOLSA,comprimento_mm,120.0,1,LUVA  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA,100,,mm,BOLSA,d_externo_mm,118.0,1,LUVA  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,100,,mm,,comprimento_mm,103.0,1,LUVA  CORRER PVC 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,100,,mm,,d_externo_mm,125.0,1,LUVA  CORRER PVC 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA,75,,mm,BOLSA,comprimento_mm,89.0,1,LUVA  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA,75,,mm,BOLSA,d_externo_mm,90.0,1,LUVA  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,75,,mm,,comprimento_mm,101.0,1,LUVA  CORRER PVC 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,75,,mm,,d_externo_mm,102.0,1,LUVA  CORRER PVC 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA,50,,mm,BOLSA,comprimento_mm,66.0,1,LUVA  PVC IRRI LF BS 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA,50,,mm,BOLSA,d_externo_mm,60.0,1,LUVA  PVC IRRI LF BS 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,50,,mm,,comprimento_mm,94.0,1,LUVA  CORRER PVC 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,50,,mm,,d_externo_mm,75.0,1,LUVA  CORRER PVC 50 MM,pecas_CAD2.dxf,DXF da casa
LUVA,35,,mm,BOLSA,comprimento_mm,54.0,1,LUVA  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
LUVA,35,,mm,BOLSA,d_externo_mm,48.0,1,LUVA  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,100,4,mm,ROSCA,comprimento_mm,60.6,1,"ADAP. BS x RM 100 x 4""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,100,4,mm,ROSCA,d_externo_mm,119.0,1,"ADAP. BS x RM 100 x 4""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,75,3,mm,ROSCA,comprimento_mm,52.5,1,"ADAP. BS x RM 75 x 3""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,75,3,mm,ROSCA,d_externo_mm,85.3,1,"ADAP. BS x RM 75 x 3""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,50,2,mm,ROSCA,comprimento_mm,38.0,1,"ADAP. BS x RM 50 x 2""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,50,2,mm,ROSCA,d_externo_mm,67.0,1,"ADAP. BS x RM 50 x 2""",pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/,envelope_x_mm,172.7,1,JOELHO AZUL 90 - 100mm,pecas_CAD2.dxf,DXF da casa
CURVA,100,,mm,90/,envelope_y_mm,172.7,1,JOELHO AZUL 90 - 100mm,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,90/,envelope_x_mm,132.4,1,JOELHO AZUL 90 - 75mm,pecas_CAD2.dxf,DXF da casa
CURVA,75,,mm,90/,envelope_y_mm,132.4,1,JOELHO AZUL 90 - 75mm,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,90/,envelope_x_mm,93.7,1,JOELHO AZUL 90 - 50mm,pecas_CAD2.dxf,DXF da casa
CURVA,50,,mm,90/,envelope_y_mm,93.3,1,JOELHO AZUL 90 - 50mm,pecas_CAD2.dxf,DXF da casa
CURVA,35,,mm,90/,envelope_x_mm,72.4,1,JOELHO AZUL 90 - 35mm,pecas_CAD2.dxf,DXF da casa
CURVA,35,,mm,90/,envelope_y_mm,72.4,1,JOELHO AZUL 90 - 35mm,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,50,2,mm,ROSCA,comprimento_mm,343.7,1,"ADAP. BS x RM 50 x 2""",pecas_CAD2.dxf,DXF da casa
ADAPTADOR,50,2,mm,ROSCA,d_externo_mm,119.0,1,"ADAP. BS x RM 50 x 2""",pecas_CAD2.dxf,DXF da casa
VENTOSA,2,,in,,largura_mm,483.6,1,"VALV. VENTOSA NAVC 2"" PN10-16 NETAFIM",pecas_CAD3.dxf,DXF da casa
VENTOSA,2,,in,,altura_total_mm,518.0,1,"VALV. VENTOSA NAVC 2"" PN10-16 NETAFIM",pecas_CAD3.dxf,DXF da casa
VENTOSA,1,,in,,largura_mm,76.4,1,"VALV. ANTI-VACUO 1"" NETAFIM",pecas_CAD3.dxf,DXF da casa
VENTOSA,1,,in,,altura_total_mm,286.0,1,"VALV. ANTI-VACUO 1"" NETAFIM",pecas_CAD3.dxf,DXF da casa
VENTOSA,1,,in,,largura_mm,58.6,1,"VALV. ANTI-VACUO 1"" EMEK",pecas_CAD3.dxf,DXF da casa
VENTOSA,1,,in,,altura_total_mm,125.0,1,"VALV. ANTI-VACUO 1"" EMEK",pecas_CAD3.dxf,DXF da casa
VENTOSA,2,,in,,largura_mm,73.3,1,"VALV. ANTI-VACUO 2"" EMEK",pecas_CAD3.dxf,DXF da casa
VENTOSA,2,,in,,altura_total_mm,122.0,1,"VALV. ANTI-VACUO 2"" EMEK",pecas_CAD3.dxf,DXF da casa
VALVULA_HIDRAULICA,75,,mm,,face_a_face_mm,198.0,1,"VALV. PLASTICA  DOROT 75X2""",pecas_CAD3.dxf,DXF da casa
