arquivo,nome,largura_mm,altura_mm,x_mm,y_mm,entidades,camadas,fonte
pecas_CAD3.dxf,CURVA 90. SOLDA 125MM PLASSON/FIP,219.0,219.0,16307.5,-451.7,40,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 160MM PLASSON/FIP,278.0,278.0,16285.4,75.0,28,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,VALV. PLASTICA  DOROT 96-110,278.0,203.2,18970.9,-732.3,712,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,VALV. PLASTICA  DOROT 96-160,360.0,260.0,18944.4,-1268.7,1114,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 90MM PLASSON/FIP,199.0,154.0,17828.1,-1361.9,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 110MM PLASSON/FIP,239.0,184.5,17808.1,-872.4,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,ADAPTADOR P/FL 110MM SOLDA,72.0,150.0,17427.6,-882.9,34,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,ADAPTADOR P/FL 90MM SOLDA,56.0,125.0,17427.6,-1370.4,34,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 90MM PLASSON/FIP,164.0,164.0,16341.7,-1417.8,20,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 110MM PLASSON/FIP,203.0,203.0,16337.6,-919.3,20,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 110MM PLASSON/FIP,186.0,186.0,15810.9,-912.8,32,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,BUCHA RED. 90X75 PLASSON,52.0,90.0,15507.1,-1248.1,10,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"PLASSON ADAP. PVC MACHO 75X63X2""",80.0,80.0,15482.4,-921.3,230,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,BUCHA RED. 110X90 PLASSON,62.0,110.0,15246.7,-1259.5,14,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"ADAP. PVC FEMEA 75X63X2"" PLASSON",84.0,80.0,15228.4,-918.7,78,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,BUCHA RED. 110X75 PLASSON,62.0,110.0,14913.7,-1254.1,22,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"PLASSON ADAP. PVC MACHO 90X75X3""",101.0,95.0,14906.8,-934.8,214,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 75MM PLASSON/FIP,169.0,130.0,17843.2,-1852.9,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,ADAPTADOR P/FL 75MM SOLDA,48.0,106.0,17427.6,-1860.9,34,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 12""",388.4,984.1,16594.4,-3405.0,264,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 75MM PLASSON/FIP,140.0,140.0,16354.0,-1878.7,20,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 14""",440.6,1116.5,14999.6,-3411.9,264,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 4""",192.0,486.5,21543.2,-3285.9,264,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 6""",248.6,630.0,20547.7,-3362.1,264,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 8""",296.6,751.7,19237.6,-3389.3,264,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"REG. GAVETA 10""",345.4,875.3,17949.4,-3417.8,264,0,DXF da casa: pecas_CAD3.dxf
